"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:34:21.2699780","EXCEL.EXE","7364","UnlockFileSingle","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Offset: 2,147,483,538, Length: 1"
"14:34:21.2699962","EXCEL.EXE","7364","QueryStandardInformationFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","AllocationSize: 512, EndOfFile: 512, NumberOfLinks: 1, DeletePending: False, Directory: False"
"14:34:21.2700042","EXCEL.EXE","7364","SetEndOfFileInformationFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","EndOfFile: 16,384"
"14:34:21.2710665","EXCEL.EXE","7364","ReadFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Offset: 0, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"14:34:21.2712325","EXCEL.EXE","7364","FlushBuffersFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS",""
"14:34:21.2712446","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Offset: 0, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"14:34:21.2728380","EXCEL.EXE","7364","FlushBuffersFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS",""
"14:34:21.2728487","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Offset: 0, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"14:34:21.2741270","EXCEL.EXE","7364","ReadFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Offset: 4,096, Length: 12,288, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"14:34:21.2741572","EXCEL.EXE","7364","FlushBuffersFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS",""
"14:34:21.2741663","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Offset: 0, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"14:34:21.2742405","EXCEL.EXE","7364","WriteFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Offset: 4,096, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"14:34:21.2756116","EXCEL.EXE","7364","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"14:34:21.2756224","EXCEL.EXE","7364","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"14:34:21.2756414","EXCEL.EXE","7364","RegOpenKey","HKCU\Software\Classes\TypeLib","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
